epoch,accuracy,loss,val_accuracy,val_loss
0,0.5279290676116943,1.5901275873184204,0.7782101035118103,0.587532103061676
1,0.7023738026618958,0.8521578311920166,0.7994226217269897,0.499437540769577
2,0.7298110723495483,0.742106020450592,0.8089619874954224,0.48998165130615234
3,0.7487925291061401,0.6789867877960205,0.8128530383110046,0.47338441014289856
4,0.760463297367096,0.647145688533783,0.8233965039253235,0.44142353534698486
5,0.7716055512428284,0.6093241572380066,0.8215137720108032,0.440233051776886
6,0.7782116532325745,0.5800468921661377,0.8257813453674316,0.4388681650161743
7,0.7835699319839478,0.5597512722015381,0.82942134141922,0.4338642656803131
8,0.7896915674209595,0.5449903607368469,0.8270364999771118,0.4277767539024353
9,0.7944039106369019,0.5262612700462341,0.8276641368865967,0.4316588044166565
10,0.8007751107215881,0.5129338502883911,0.82942134141922,0.4447566270828247
11,0.8033441305160522,0.5025641918182373,0.8291703462600708,0.43382832407951355
12,0.8063095211982727,0.4934326708316803,0.8277896046638489,0.42564377188682556
13,0.8085996508598328,0.4795968532562256,0.8276641368865967,0.4317742884159088
14,0.8121376037597656,0.4729563891887665,0.8292958736419678,0.4352298676967621
15,0.8145744800567627,0.4651060402393341,0.8281661868095398,0.44270557165145874
16,0.8162627220153809,0.4583766758441925,0.82942134141922,0.4335281550884247
17,0.8186996579170227,0.45275118947029114,0.8262833952903748,0.4402672052383423
18,0.8224724531173706,0.4427722096443176,0.8282917141914368,0.44387322664260864
19,0.8236321806907654,0.4349839687347412,0.8238985538482666,0.4449692368507385
20,0.8240725994110107,0.43141716718673706,0.8272875547409058,0.43971213698387146
21,0.8256433606147766,0.42950594425201416,0.8309275507926941,0.4385077655315399
22,0.8289023637771606,0.4270094633102417,0.8261579275131226,0.4446442425251007
23,0.8295923471450806,0.4186723530292511,0.8292958736419678,0.46046212315559387
24,0.8298271894454956,0.419160395860672,0.8272875547409058,0.45675405859947205
25,0.8318384289741516,0.41227784752845764,0.8275386095046997,0.4688575565814972
26,0.8313980102539062,0.40794235467910767,0.831304132938385,0.45151907205581665
27,0.833570659160614,0.40412387251853943,0.8341910243034363,0.45134130120277405
28,0.8340551257133484,0.40425562858581543,0.8336889743804932,0.45741716027259827
29,0.835640549659729,0.40318843722343445,0.831304132938385,0.49497565627098083
30,0.8371379375457764,0.39577770233154297,0.8319317102432251,0.4687540829181671
31,0.8372847437858582,0.3955451250076294,0.8264089226722717,0.48141127824783325
32,0.83674156665802,0.392790287733078,0.8354462385177612,0.4714335799217224
33,0.8381655812263489,0.3903161883354187,0.8335634469985962,0.508967399597168
34,0.838899552822113,0.3914840817451477,0.831304132938385,0.46316051483154297
35,0.8411163091659546,0.38781821727752686,0.8308020830154419,0.46878480911254883
36,0.8392812609672546,0.3887041509151459,0.8324337601661682,0.4708269238471985
37,0.8411456346511841,0.3805343508720398,0.8299234509468079,0.46264365315437317
38,0.8426576852798462,0.3816384971141815,0.8346931338310242,0.4770125448703766
39,0.8422760367393494,0.3841798007488251,0.8281661868095398,0.482153058052063
