epoch,accuracy,loss,val_accuracy,val_loss
0,0.6258312463760376,1.221185564994812,0.7979164123535156,0.5325740575790405
1,0.7577915191650391,0.661567211151123,0.7970377802848816,0.5312525033950806
2,0.7769785523414612,0.5922480225563049,0.8152378797531128,0.4679960012435913
3,0.788840115070343,0.5508574843406677,0.817622721195221,0.47360941767692566
4,0.7988226413726807,0.5202846527099609,0.8205096125602722,0.4618374705314636
5,0.8071903586387634,0.4976304769515991,0.8220158219337463,0.44707345962524414
6,0.8097006678581238,0.4799805283546448,0.818250298500061,0.45633766055107117
7,0.8159984946250916,0.46557682752609253,0.8188778758049011,0.464112788438797
8,0.8172903060913086,0.4576946496963501,0.8235220313072205,0.46857842803001404
9,0.8216503262519836,0.4450828731060028,0.8244006633758545,0.4489063620567322
10,0.8249240517616272,0.43649977445602417,0.8238985538482666,0.45872724056243896
11,0.8282123804092407,0.43079668283462524,0.8286682367324829,0.4626302123069763
12,0.8280509114265442,0.4219902753829956,0.8257813453674316,0.45634931325912476
13,0.8316916227340698,0.4154496192932129,0.8270364999771118,0.4646253287792206
14,0.8315154314041138,0.4098404347896576,0.8261579275131226,0.470034658908844
15,0.8342165946960449,0.4060322046279907,0.8277896046638489,0.4783680737018585
16,0.8348038196563721,0.40482571721076965,0.8192543983459473,0.5120629072189331
17,0.8371232748031616,0.3971841335296631,0.8227689266204834,0.4887789785861969
18,0.8374168872833252,0.39872902631759644,0.8246516585350037,0.4847838282585144
19,0.8375343084335327,0.39128294587135315,0.8245261907577515,0.5280973315238953
20,0.840778648853302,0.3899242877960205,0.8250282406806946,0.49613773822784424
21,0.8397950530052185,0.3877916932106018,0.8285427093505859,0.493535578250885
22,0.8432449102401733,0.3815683126449585,0.8299234509468079,0.493610143661499
23,0.8415420055389404,0.3837898373603821,0.8265344500541687,0.4928418695926666
24,0.8454469442367554,0.37810128927230835,0.8271620273590088,0.5554699897766113
